kind,source_section_id,source_node_id,target_section_id,target_node_id,node_name,source_size,target_size,status
screen,442:2,442:2356,453:7374,453:10165,NativeEditable/ST-22 ST-22 Status Update Success,390x844,390x844,MATCH
screen,442:2,442:2393,453:7374,453:10211,NativeEditable/ST-23 ST-23 Map Service Unavailable,390x844,390x844,MATCH
screen,442:2,442:2455,453:7374,453:10288,NativeEditable/ST-24 ST-24 Empty Notifications,390x844,390x844,MATCH
responsive,444:3050,444:3057,453:10333,453:10340,NativeEditable/360x800/P1-07 P1-07 Home Screen,360x800,360x800,MATCH
responsive,444:3050,444:3125,453:10333,453:10426,NativeEditable/412x915/P1-07 P1-07 Home Screen,412x915,412x915,MATCH
responsive,444:3050,444:3196,453:10333,453:10513,NativeEditable/430x932/P1-07 P1-07 Home Screen,430x932,430x932,MATCH
responsive,444:3050,444:3267,453:10333,453:10600,NativeEditable/360x800/P1-08 P1-08 Vet Finder Map,360x800,360x800,MATCH
responsive,444:3050,444:3348,453:10333,453:10699,NativeEditable/412x915/P1-08 P1-08 Vet Finder Map,412x915,412x915,MATCH
responsive,444:3050,444:3427,453:10333,453:10797,NativeEditable/430x932/P1-08 P1-08 Vet Finder Map,430x932,430x932,MATCH
responsive,444:3050,444:3506,453:10333,453:10895,NativeEditable/360x800/P1-12 P1-12 Health Timeline,360x800,360x800,MATCH
responsive,444:3050,444:3573,453:10333,453:10979,NativeEditable/412x915/P1-12 P1-12 Health Timeline,412x915,412x915,MATCH
responsive,444:3050,444:3642,453:10333,453:11065,NativeEditable/430x932/P1-12 P1-12 Health Timeline,430x932,430x932,MATCH
responsive,444:3050,444:3712,453:10333,453:11153,NativeEditable/360x800/P1-16 P1-16 Profile Screen,360x800,360x800,MATCH
responsive,444:3050,444:3764,453:10333,453:11218,NativeEditable/412x915/P1-16 P1-16 Profile Screen,412x915,412x915,MATCH
responsive,444:3050,444:3825,453:10333,453:11294,NativeEditable/430x932/P1-16 P1-16 Profile Screen,430x932,430x932,MATCH
responsive,444:3050,444:3885,453:10333,453:11369,NativeEditable/360x800/P2-01 P2-01 Rescue Home,360x800,360x800,MATCH
responsive,444:3050,444:3930,453:10333,453:11425,NativeEditable/412x915/P2-01 P2-01 Rescue Home,412x915,412x915,MATCH
